Timestamp,Severity,Threat Type,Confidence,Method,URL,Domain,Resource Type,Tab ID,Tab Title,Session ID,User ID,Browser,OS,Status,Body
"2025-10-20T01:17:00.000Z","CRITICAL","SQLi","0.95","POST","https://evil-site.com/login","evil-site.com","API","12345","Evil Login Page","session_1729388000000_abc123","user_1729000000000_xyz789","Chrome","Windows 10/11","500","{""username"":""admin' OR '1'='1"",""password"":""test""}"
"2025-10-20T01:18:15.000Z","HIGH","XSS","0.87","GET","https://vulnerable.net/search?q=<script>alert(1)</script>","vulnerable.net","API","12345","Search Results","session_1729388000000_abc123","user_1729000000000_xyz789","Chrome","Windows 10/11","200","N/A"
"2025-10-20T01:19:22.000Z","HIGH","Data Exfiltration","0.82","POST","https://suspicious.org/beacon","suspicious.org","API","67890","Shopping Cart","session_1729388100000_def456","user_1729000000000_xyz789","Chrome","Windows 10/11","200","{""creditCard"":""4111111111111111"",""cvv"":""123""}"
"2025-10-20T01:20:45.000Z","MEDIUM","Malware","0.65","GET","https://cdn.malicious.com/tracker.js","cdn.malicious.com","JavaScript","12345","Evil Login Page","session_1729388000000_abc123","user_1729000000000_xyz789","Chrome","Windows 10/11","200","N/A"
"2025-10-20T01:21:30.000Z","LOW","Privacy Violation","0.45","POST","https://analytics.tracking.net/collect","analytics.tracking.net","API","67890","Shopping Cart","session_1729388100000_def456","user_1729000000000_xyz789","Chrome","Windows 10/11","200","{""userId"":""user123"",""page"":""/cart""}"
"2025-10-20T01:22:18.000Z","CRITICAL","RCE","0.98","POST","https://api.vulnerable.com/exec","api.vulnerable.com","API","12345","Evil Login Page","session_1729388000000_abc123","user_1729000000000_xyz789","Chrome","Windows 10/11","500","{""cmd"":""rm -rf /"",""shell"":""bash""}"
"2025-10-20T01:23:05.000Z","HIGH","CSRF","0.78","POST","https://bank.example.com/transfer","bank.example.com","API","24680","Online Banking","session_1729388200000_ghi789","user_1729000000000_xyz789","Chrome","Windows 10/11","403","{""to"":""attacker@evil.com"",""amount"":""10000""}"
"2025-10-20T01:24:12.000Z","MEDIUM","Phishing","0.72","GET","https://paypaI.com/login","paypaI.com","API","24680","Fake PayPal","session_1729388200000_ghi789","user_1729000000000_xyz789","Chrome","Windows 10/11","200","N/A"
"2025-10-20T01:25:33.000Z","INFO","Clean","0.05","GET","https://legitimate-cdn.com/jquery.min.js","legitimate-cdn.com","JavaScript","12345","Normal Website","session_1729388000000_abc123","user_1729000000000_xyz789","Chrome","Windows 10/11","200","N/A"
"2025-10-20T01:26:41.000Z","HIGH","API Abuse","0.81","POST","https://api.service.com/users/dump","api.service.com","API","67890","Admin Panel","session_1729388100000_def456","user_1729000000000_xyz789","Chrome","Windows 10/11","200","{""limit"":""999999"",""includePrivate"":true}"
